k,t,x,y,psi,vx,vy,r,u_delta,u_sfx,x_ref,y_ref,psi_ref,vx_ref,vy_ref,r_ref
0.000000,0.000000,0.000000,0.010000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,1.570796,3.000000,0.000000,0.000000
1.000000,0.020000,0.000000,0.070000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,1.570796,2.991134,-0.093247,-0.634078
2.000000,0.040000,0.000000,0.130000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.001865,0.129823,1.558115,2.987224,-0.110702,-0.655284
3.000000,0.060000,0.000000,0.190000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.004836,0.189534,1.545009,2.984456,-0.112857,-0.643231
4.000000,0.080000,0.000000,0.250000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.008632,0.249145,1.532144,2.981710,-0.113990,-0.646184
5.000000,0.100000,0.000000,0.310000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.013214,0.308647,1.519221,2.979063,-0.113947,-0.643984
6.000000,0.120000,0.000000,0.370000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.018562,0.368031,1.506341,2.976402,-0.114031,-0.644002
7.000000,0.140000,0.000000,0.430000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.024672,0.427289,1.493461,2.973754,-0.113992,-0.643160
8.000000,0.160000,0.000000,0.490000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.031540,0.486410,1.480598,2.971104,-0.113987,-0.642673
9.000000,0.180000,0.000000,0.550000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.039163,0.545385,1.467744,2.968459,-0.113965,-0.642044
10.000000,0.200000,0.000000,0.610000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.047537,0.604205,1.454904,2.965814,-0.113948,-0.641474
11.000000,0.220000,0.000000,0.670000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,0.056660,0.662860,1.442074,2.978574,0.009303,0.197193
