node_id,parent,children,success,cost_from_parent,cum_cost,time_from_parent,cum_time,dist_to_goal,x,y,psi,vx,vy,r,u_delta,u_sfx
0.000000,-1.000000,195.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.404475,0.000000,0.010000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.000000,5.000000,10.000000,0.227701,0.227701,0.200000,0.200000,1.361100,-0.063647,0.532931,1.744552,1.627034,0.140293,0.642048,0.159396,-0.068199
2.000000,0.000000,17.000000,53.000000,0.228656,0.228656,0.200000,0.200000,1.355721,-0.053260,0.517472,1.720999,1.463114,0.113631,0.512994,0.143056,-0.085731
3.000000,1.000000,1.000000,0.000000,0.222084,0.449785,0.200000,0.400000,1.481143,-0.183310,0.820568,1.935751,1.178531,0.180142,1.370263,0.258678,-0.019131
4.000000,3.000000,2.000000,-8.000000,0.220794,0.670579,0.200000,0.600000,1.594683,-0.274150,0.998055,2.014703,0.627520,-0.019606,-0.478854,0.118183,-0.045042
5.000000,4.000000,3.000000,-6.000000,0.204351,0.874929,0.200000,0.800000,1.780845,-0.319893,1.218540,1.840253,1.576337,-0.236551,-0.814383,-0.284955,0.050539
6.000000,1.000000,2.000000,-2.000000,0.212609,0.440310,0.200000,0.400000,1.684683,-0.175508,1.026134,1.796429,3.130324,0.042599,0.267260,0.033710,0.076503
7.000000,6.000000,6.000000,7.000000,0.219058,0.659368,0.200000,0.600000,1.770664,-0.207139,1.672199,1.483267,2.775322,-0.333448,-1.961315,-0.276878,-0.009365
8.000000,7.000000,3.000000,-2.000000,0.214756,0.874124,0.200000,0.800000,2.712106,-0.180278,2.315617,1.670557,3.221981,0.335860,2.494524,0.322589,0.051186
9.000000,7.000000,0.000000,-2.000000,0.219087,0.878455,0.200000,0.800000,2.335186,0.048076,2.248373,1.026055,2.977343,-0.349347,-2.164425,-0.285188,0.012346
10.000000,8.000000,7.000000,9.000000,0.229303,1.103427,0.200000,1.000000,3.161059,-0.328196,2.856830,1.902352,1.671648,0.107137,0.532460,0.129203,-0.098278
11.000000,8.000000,2.000000,1.000000,0.224074,1.098198,0.200000,1.000000,3.250005,-0.362293,2.937543,1.920433,2.561940,0.158515,0.847133,0.130604,-0.026961
12.000000,1.000000,1.000000,5.000000,0.211025,0.438726,0.200000,0.400000,1.453635,-0.132345,0.751714,1.844489,0.546308,0.006171,-0.366603,0.156439,-0.061577
13.000000,10.000000,0.000000,-2.000000,0.221965,1.325392,0.200000,1.200000,3.417090,-0.388361,3.121742,1.804749,0.776111,-0.103382,-1.054080,-0.228513,-0.050315
14.000000,10.000000,6.000000,2.000000,0.216267,1.319694,0.200000,1.200000,3.360976,-0.457021,3.071390,2.067977,0.642748,0.048531,-0.203011,0.281648,-0.059688
15.000000,10.000000,0.000000,-16.000000,0.205199,1.308626,0.200000,1.200000,3.619711,-0.382980,3.307150,1.603579,2.749827,-0.391875,-2.481698,-0.348907,0.094081
16.000000,2.000000,3.000000,2.000000,0.219060,0.447716,0.200000,0.400000,1.446161,-0.162322,0.766856,1.942634,1.021949,0.144730,0.307976,0.335005,-0.020118
17.000000,14.000000,3.000000,2.000000,0.218518,1.538212,0.200000,1.400000,3.497619,-0.530195,3.206949,2.060989,0.767184,-0.083613,-0.064855,-0.016106,0.007783
18.000000,1.000000,3.000000,1.000000,0.221250,0.448951,0.200000,0.400000,1.518118,-0.096013,0.827668,1.679341,1.053271,-0.094651,-1.015009,-0.143949,-0.028934
19.000000,17.000000,0.000000,-3.000000,0.222056,1.760268,0.200000,1.600000,3.653115,-0.595270,3.357383,1.986154,0.709073,-0.034406,-0.942704,-0.160751,-0.004302
20.000000,5.000000,0.000000,-51.000000,0.221840,1.096770,0.200000,1.000000,2.025888,-0.381448,1.526597,1.790884,1.255848,-0.060008,-0.809345,-0.054654,-0.016248
21.000000,10.000000,1.000000,-4.000000,0.221670,1.325098,0.200000,1.200000,3.456575,-0.389077,3.161710,1.769708,1.133413,-0.164487,-1.314685,-0.248234,-0.022916
22.000000,5.000000,3.000000,-2.000000,0.215994,1.090923,0.200000,1.000000,1.837530,-0.334048,1.712223,1.557833,2.996811,-0.274623,-1.710917,-0.223826,0.072507
23.000000,5.000000,5.000000,-7.000000,0.220386,1.095315,0.200000,1.000000,2.070209,-0.378211,1.572896,1.750114,1.682705,-0.089640,-0.538120,-0.091235,0.004932
24.000000,22.000000,3.000000,4.000000,0.225414,1.316338,0.200000,1.200000,2.304643,-0.170712,2.239762,1.164232,1.903021,-0.295140,-1.424003,-0.296337,-0.053283
25.000000,14.000000,2.000000,4.000000,0.207776,1.527471,0.200000,1.400000,3.509761,-0.597431,3.221078,2.247929,1.332795,0.273231,1.681695,0.342732,0.049241
26.000000,7.000000,0.000000,-3.000000,0.218260,0.877628,0.200000,0.800000,2.435288,-0.033906,2.332999,1.258997,3.484474,-0.154868,-1.026303,-0.116294,0.027434
27.000000,25.000000,0.000000,-33.000000,0.219097,1.746568,0.200000,1.600000,3.741038,-0.754778,3.433708,2.176854,1.081814,-0.187815,-1.443608,-0.301390,-0.008133
28.000000,24.000000,1.000000,0.000000,0.244209,1.560546,0.200000,1.400000,2.570425,-0.061883,2.517131,1.234312,0.537148,0.121902,0.565581,0.347563,-0.093687
29.000000,7.000000,3.000000,-3.000000,0.213473,0.872841,0.200000,0.800000,2.721562,-0.182503,2.322495,1.670812,3.321604,0.305201,2.268804,0.270834,0.047014
30.000000,2.000000,6.000000,7.000000,0.213102,0.441758,0.200000,0.400000,0.933056,-0.051842,0.867118,1.555675,1.818403,-0.256074,-1.459785,-0.243146,0.020040
31.000000,1.000000,5.000000,8.000000,0.210949,0.438650,0.200000,0.400000,0.976392,-0.062278,0.906905,1.538276,1.918622,-0.341115,-1.684882,-0.311655,0.019469
32.000000,2.000000,1.000000,1.000000,0.210659,0.439315,0.200000,0.400000,1.597677,-0.063297,0.905866,1.579414,2.225540,-0.215910,-1.121798,-0.179079,0.036239
33.000000,0.000000,10.000000,40.000000,0.225452,0.225452,0.200000,0.200000,1.364006,-0.099525,0.559444,1.848107,1.953480,0.271784,1.313177,0.266471,-0.049262
34.000000,0.000000,2.000000,1.000000,0.217218,0.217218,0.200000,0.200000,1.514681,-0.092649,0.704941,1.782282,3.455183,0.177246,1.177123,0.134251,0.019779
35.000000,23.000000,6.000000,7.000000,0.219636,1.314951,0.200000,1.200000,2.406336,-0.386932,1.961205,1.595775,1.854129,-0.179895,-1.150004,-0.163078,0.007387
36.000000,0.000000,1.000000,1.000000,0.224958,0.224958,0.200000,0.200000,1.375618,-0.087709,0.566023,1.802556,2.004469,0.212092,1.018924,0.202110,-0.042829
37.000000,33.000000,0.000000,-1.000000,0.220656,0.446107,0.200000,0.400000,1.597157,-0.223843,0.963882,1.850314,1.881576,-0.064686,-0.613468,-0.042920,-0.002810
38.000000,17.000000,0.000000,-27.000000,0.200354,1.738566,0.200000,1.600000,3.693219,-0.697063,3.396446,2.256477,1.753312,0.310496,1.294949,0.319591,0.061680
39.000000,0.000000,5.000000,4.000000,0.219787,0.219787,0.200000,0.200000,0.816213,0.056660,0.662860,1.442074,2.963172,-0.113929,-0.640880,-0.085324,-0.000810
40.000000,17.000000,0.000000,-2.000000,0.216735,1.754947,0.200000,1.600000,3.623769,-0.613078,3.334131,2.157210,0.633652,-0.022586,-0.297907,0.167443,-0.011446
41.000000,16.000000,2.000000,-7.000000,0.206513,0.654229,0.200000,0.600000,1.673135,-0.270247,1.072255,1.901747,2.114977,-0.059683,-0.175168,-0.060535,0.060078
42.000000,23.000000,2.000000,5.000000,0.211815,1.307130,0.200000,1.200000,2.161406,-0.324404,2.053242,1.393583,2.881187,-0.365979,-2.263229,-0.306267,0.071037
43.000000,35.000000,4.000000,7.000000,0.218551,1.533502,0.200000,1.400000,2.475811,-0.287602,2.396239,1.326826,2.229397,-0.281362,-1.344837,-0.236721,0.014792
44.000000,16.000000,0.000000,0.000000,0.218813,0.666529,0.200000,0.600000,1.594484,-0.247245,0.986190,1.923330,1.127844,0.017820,0.560788,-0.033793,0.006858
45.000000,4.000000,2.000000,-6.000000,0.208609,0.879188,0.200000,0.800000,1.798473,-0.344300,1.240343,1.883295,1.790774,-0.172428,-0.616944,-0.186167,0.064659
